A,B
Q9BSE2,Q6PEW1
Q9BSE2,Q8N609
Q9BSE2,Q9NS64
Q9BSE2,Q86WK6
Q9BSE2,Q6PL45
Q9BSE2,O15393
Q9BSE2,Q86W74
Q9BSE2,P05090
Q9BSE2,Q5T700
Q9BSE2,Q8WWP7
Q9BSE2,Q14254
Q9BSE2,Q8N0V5
Q9BSE2,Q14203
Q6P531,Q96IW7
Q6P531,Q9BWQ8
Q6P531,Q969X1
Q6P531,Q9BZ11
Q6P531,O95393
Q6P531,O75355
Q6P531,Q7Z429
Q6P531,Q92520
Q3SXY8,Q9UPZ6
Q3SXY8,Q15836
Q3SXY8,Q9NSC5
Q3SXY8,P10619
Q3SXY8,P80303
Q3SXY8,P02786
Q3SXY8,P37268
Q3SXY8,O15400
Q3SXY8,Q9NTN9
Q3SXY8,Q9NZ01
Q3SXY8,P09601
Q3SXY8,Q14508
Q3SXY8,Q96MV8
Q3SXY8,Q9NVC3
Q3SXY8,P30519
Q3SXY8,O14735
Q3SXY8,O95214
Q3SXY8,Q16617
Q3SXY8,Q96GM1
Q3SXY8,Q14318
Q3SXY8,Q16623
Q3SXY8,O75425
Q3SXY8,Q9NS00
Q3SXY8,O14653
Q3SXY8,Q15546
Q3SXY8,Q5BJF2
Q3SXY8,Q01453
Q3SXY8,Q9P0S9
Q3SXY8,Q5TGU0
Q3SXY8,O14569
Q3SXY8,O60725
Q3SXY8,O75379
Q3SXY8,P78383
Q3SXY8,Q969K7
Q3SXY8,P09466
Q3SXY8,P60201
Q3SXY8,P63252
Q3SXY8,Q9P0S3
Q3SXY8,Q9NWW5
Q3SXY8,Q16853
Q3SXY8,Q5BJH2
Q3SXY8,Q8TBM7
Q3SXY8,Q9BXR6
Q3SXY8,P54849
Q3SXY8,Q05329
Q3SXY8,Q8IXM6
Q3SXY8,Q9H0Q3
Q3SXY8,Q96E93
Q3SXY8,P23763
Q3SXY8,Q96MX0
Q3SXY8,P22732
Q3SXY8,P19397
Q3SXY8,Q96PS8
Q3SXY8,Q9UHE5
Q3SXY8,Q13021
Q3SXY8,Q9C0I4
Q3SXY8,Q9NVV5
Q3SXY8,Q15125
Q3SXY8,Q969L2
Q3SXY8,Q9UHJ9
Q3SXY8,A2RU14
Q3SXY8,Q96FZ5
Q3SXY8,P56748
Q3SXY8,Q8WWT9
Q3SXY8,Q8WZ59
Q3SXY8,Q9H2A7
Q3SXY8,Q13113
Q3SXY8,O95393
Q3SXY8,Q9Y6I9
Q3SXY8,Q8WVX3
Q3SXY8,P78382
Q3SXY8,Q6PI78
Q3SXY8,P29033
Q3SXY8,Q9BWH2
Q3SXY8,Q9NP94
Q3SXY8,Q8NHY0
Q3SXY8,Q96CM8
Q3SXY8,O75355
Q3SXY8,Q71RG4
Q3SXY8,P43378
Q3SXY8,Q8N6G5
Q3SXY8,P11215
Q3SXY8,O60883
Q3SXY8,Q96IV6
Q3SXY8,Q0VAQ4
Q3SXY8,Q9BTV4
Q3SXY8,Q8N5M9
Q3SXY8,Q9UBY5
Q3SXY8,P25067
Q3SXY8,Q9NZG7
Q3SXY8,Q8N138
Q3SXY8,Q9BXN2
Q3SXY8,O14523
Q3SXY8,Q96DR8
Q3SXY8,O14798
Q3SXY8,Q12983
Q3SXY8,P48509
Q3SXY8,Q14656
Q3SXY8,P17152
Q3SXY8,Q8N661
Q3SXY8,Q96EC8
Q3SXY8,Q6UXB4
Q3SXY8,Q6PL45
Q3SXY8,Q8IXB3
Q3SXY8,Q9BTD3
Q3SXY8,A6NDP7
Q3SXY8,Q86W74
Q3SXY8,Q6UX27
Q3SXY8,O14493
Q3SXY8,Q96F15
Q3SXY8,P29034
Q3SXY8,P16150
Q3SXY8,Q8NBD8
Q3SXY8,Q5QGT7
Q3SXY8,P26678
Q3SXY8,Q9P0B6
Q3SXY8,Q5VZY2
Q3SXY8,Q9NTJ5
Q3SXY8,Q8WWP7
Q3SXY8,Q9BZW4
Q3SXY8,Q92685
Q3SXY8,P63027
Q3SXY8,P0DN84
Q3SXY8,Q8IX05
Q3SXY8,P13236
Q3SXY8,Q8NHW4
Q3SXY8,Q9BW83
Q3SXY8,Q9H7X7
Q3SXY8,O15431
Q3SXY8,Q16539
Q3SXY8,Q8NBR6
Q3SXY8,Q86WT1
Q3SXY8,O00506
Q3SXY8,Q8WYA0
Q3SXY8,Q9NQC8
Q3SXY8,O43156
Q3SXY8,Q53R41
Q3SXY8,Q96LB3
Q3SXY8,Q9Y366
Q3SXY8,Q9UI26
Q3SXY8,Q9ULJ7
Q3SXY8,P30825
Q3SXY8,Q9P2R3
Q3SXY8,P62330
Q3SXY8,Q96A22
Q3SXY8,Q03135
Q3SXY8,P78310
Q3SXY8,Q8IWF6
Q3SXY8,O75955
Q3SXY8,P17302
Q3SXY8,Q8N144
Q3SXY8,Q9BQQ3
Q3SXY8,P11279
Q3SXY8,P13473
Q3SXY8,Q9UQV4
Q3SXY8,Q6IAA8
Q3SXY8,P06239
Q3SXY8,P07948
Q3SXY8,P29966
Q3SXY8,Q16625
Q3SXY8,Q96RD7
Q3SXY8,P62491
Q3SXY8,P61019
Q3SXY8,Q15286
Q3SXY8,P20338
Q3SXY8,P20339
Q3SXY8,P51148
Q3SXY8,P51151
Q3SXY8,P62745
Q3SXY8,O43752
Q3SXY8,O95159
Q12983,Q96IK0
Q12983,Q13323
Q12983,Q15436
Q12983,Q9Y225
Q12983,Q04941
Q12983,Q96MV8
Q12983,Q6UW68
Q12983,P05981
Q12983,Q9GZR5
Q12983,Q9HBV2
Q12983,P78383
Q12983,Q96IW7
Q12983,Q9Y282
Q12983,O15529
Q12983,O15552
Q12983,Q86UP2
Q12983,Q9BRK0
Q12983,Q9BVX2
Q12983,O15432
Q12983,Q12982
Q12983,Q13021
Q12983,Q15125
Q12983,Q969F0
Q12983,O00559
Q12983,Q5SR56
Q12983,Q96HJ5
Q12983,Q96MV1
Q12983,P38484
Q12983,Q96CE8
Q12983,Q96DZ9
Q12983,Q9NY72
Q12983,Q8N5M9
Q12983,Q96D05
Q12983,Q9BXN2
Q12983,Q8TDT2
Q12983,Q9NS64
Q12983,P17152
Q12983,Q86WK6
Q12983,O15393
Q12983,Q8NI37
Q12983,Q9H1V8
Q12983,P07766
Q12983,Q5T700
Q12983,Q9Y320
Q12983,O95484
Q12983,Q6P5S7
Q12983,Q9BZL3
Q12983,Q5MIZ7
Q12983,P15153
Q12983,Q9NV96
Q12983,Q8N961
Q12983,Q07075
Q12983,Q8NC42
Q86WK6,Q9HCP6
Q86WK6,O75508
Q86WK6,Q8TAP4
Q86WK6,P30536
Q86WK6,Q9NVC3
Q86WK6,Q16617
Q86WK6,O00526
Q86WK6,Q9H2H9
Q86WK6,Q9Y6D0
Q86WK6,Q5BVD1
Q86WK6,P24593
Q86WK6,Q8IVJ1
Q86WK6,Q9H2L4
Q86WK6,Q07325
Q86WK6,P07306
Q86WK6,P56557
Q86WK6,O14894
Q86WK6,Q13021
Q86WK6,Q9UHJ9
Q86WK6,Q8N271
Q86WK6,P29033
Q86WK6,Q9UNK0
Q86WK6,Q9NZG7
Q86WK6,Q9NS64
Q86WK6,Q15848
Q86WK6,P56851
Q86WK6,P53801
Q86WK6,Q86W74
Q86WK6,Q8IY26
Q86WK6,P0DJD7
Q86WK6,Q5T700
Q86WK6,P26715
Q86WK6,Q3ZCM7
Q86WK6,O14967
Q86WK6,P27824
Q86WK6,Q15072
Q86WK6,Q5SWX8
Q86WK6,Q9HAV4
Q86WK6,Q96IV0
Q86WK6,Q13315
Q86WK6,Q9BT09
Q86WK6,Q9NUQ7
Q86WK6,Q8NBN7
Q86WK6,Q86U38
Q86WK6,P50570
Q86WK6,Q05193
Q86WK6,Q9UQ16
Q86WK6,Q8NCR0
Q86WK6,O75054
Q86WK6,Q92990
Q86WK6,O95297
Q86WK6,P13224
Q86WK6,Q6NSJ0
Q86WK6,A0PJW6
Q86WK6,Q96NT3
Q86WK6,Q49AG3
Q86WK6,Q8N554
Q86WK6,P09603
Q86WK6,Q9NRD5
Q96A25,O14653
Q96A25,P24593
Q96A25,Q5BJH2
Q96A25,Q9UKR5
Q96A25,Q9BVX2
Q96A25,P29033
Q96A25,O75355
Q96A25,Q6UX40
Q96A25,Q8N661
Q96A25,O14817
Q96A25,Q16585
Q96A25,Q92520
Q96A25,A6ZKI3
Q96A25,Q8NBP0
Q96A25,Q8IYS2
Q96A25,Q9ULG6
Q96A25,O60704
Q96A25,O00592
Q96A25,Q8IXK2
Q96A25,Q14118
Q96A25,Q9H649
Q96A25,P23229
Q96A25,Q9BRX8
Q96A25,Q96AE7
Q96A25,Q14393
Q96A25,Q92545
Q96A25,Q5T7M9
Q96A25,O95754
Q96A25,Q9H0V9
Q96A25,Q9NQS3
Q96A25,Q9UBV7
Q96A25,Q01974
Q96A25,O60243
Q96A25,Q9BYC5
Q96A25,Q09328
Q96A25,Q86X52
Q96A25,Q9BY71
Q96A25,O60512
Q96A25,Q02742
Q96A25,P41162
Q96A25,Q9UI95
Q96A25,Q9UHQ9
Q96A25,Q9Y644
Q96A25,O94901
Q96A25,P50548
Q96A25,P24468
Q96A25,Q9HCN3
Q96A25,P09601
Q96A25,Q8N5K1
Q96A25,P54760
Q96A25,Q86XF0
Q96A25,P48645
Q96A25,Q9BTN0
Q96A25,Q96LL9
Q96A25,P08648
O60762,P50222
O60762,Q9UPN4
O60762,P20645
O60762,P23258
O60762,P50991
O60762,O95071
O60762,Q6PJG2
P50222,P43351
P50222,Q9NPA2
P50222,P06241
P50222,P09917
P50222,Q9UPU9
P50222,P14616
P50222,Q8WYA1
P50222,O15347
P50222,P28799
P50222,P31273
P50222,Q96T60
P50222,Q9Y6F1
P50222,Q9Y2I8
P50222,Q14055
P50222,Q8WXH0
P50222,Q13554
P50222,Q8WUI4
P50222,Q96GC9
P50222,Q9NQL9
P50222,Q9Y5L0
P50222,Q92625
P50222,Q92917
P50222,Q4V328
P50222,O95602
P50222,Q86US8
P50222,P53677
P50222,O95983
P50222,Q15772
P50222,Q8TBB1
P50222,P51668
P50222,Q969G3
P50222,P46459
P50222,Q9HB63
P50222,Q14162
P50222,Q9UJF2
P50222,P15408
P50222,O43602
P50222,Q9NQT4
P50222,O75344
P50222,P23142
P50222,P61086
P50222,Q06455
P50222,P48380
P50222,Q9UJV3
P50222,Q13698
P50222,O00463
P50222,Q9Y2P5
P50222,Q9UPY8
P50222,P02792
P50222,Q9UL52
P50222,Q9NWQ4
P50222,O95178
P50222,Q9H2X0
P50222,P07910
P50222,P49366
P50222,O00311
P50222,Q92824
P50222,Q9H2F3
P50222,P49427
P50222,Q8IZ69
P50222,O75140
P50222,Q9NRD5
P50222,Q9UNF0
P50222,P30536
P50222,Q99757
P50222,O43808
P50222,Q6ICB0
P50222,Q9BW66
P50222,Q9ULU4
P50222,P68400
P50222,Q15147
P50222,Q15691
P50222,Q6UB98
P50222,O94818
P50222,P41227
P50222,P50402
P50222,Q9BW62
P50222,Q08AM6
P50222,Q9BSW7
P50222,Q9NVM6
P50222,Q9HDC5
