uniprot_entry	source
Q6P9A1	deepphase
Q96PX1	deepphase
Q5VUJ6	deepphase
Q7Z3G6	deepphase
Q8IYQ7	deepphase
Q86UA6	deepphase
Q8N5C7	deepphase
Q86VK4	deepphase
Q99909	deepphase
Q5HYK3	deepphase
Q16378	deepphase
Q9HCE6	deepphase
Q2PZI1	deepphase
O15194	deepphase
Q5T5A4	deepphase
Q08379	deepphase
Q9BPW5	deepphase
P19971	deepphase
Q96RK1	deepphase
Q8IWS0	deepphase
Q9H6J7	deepphase
P49703	deepphase
A0A087X1G2	deepphase
Q6IA17	deepphase
Q13043	deepphase
Q9BV29	deepphase
B9A6J9	deepphase
P12034	deepphase
Q8NBU5	deepphase
Q8NEV4	deepphase
Q9Y3B9	deepphase
P08253	deepphase
Q01094	deepphase
Q96JK9	deepphase
Q96AP0	deepphase
P03951	deepphase
Q86X83	deepphase
P52740	deepphase
Q4LEZ3	deepphase
Q8NCD3	deepphase
P27540	deepphase
P42345	deepphase
Q9NYB0	deepphase
Q8WW01	deepphase
P23497	deepphase
Q8IWR1	deepphase
Q9UJ71	deepphase
P36383	deepphase
Q96B96	deepphase
Q8N392	deepphase
Q8WWH5	deepphase
O76083	deepphase
P46926	deepphase
Q92484	deepphase
Q9H6K5	deepphase
Q8NHQ9	deepphase
O00116	deepphase
Q86WX3	deepphase
Q15070	deepphase
O00459	deepphase
O75363	deepphase
Q96JG9	deepphase
Q99848	deepphase
Q9NWB7	deepphase
Q7Z4H3	deepphase
Q99490	deepphase
O95405	deepphase
Q96JA3	deepphase
Q9UJ68	deepphase
Q8N128	deepphase
O95780	deepphase
Q9HCM1	deepphase
P43268	deepphase
Q7Z7N9	deepphase
P31249	deepphase
Q96FB5	deepphase
Q96B18	deepphase
Q9HCB6	deepphase
Q12766	deepphase
Q00059	deepphase
Q53EV4	deepphase
Q8N4X5	deepphase
Q9H6W3	deepphase
Q9NZQ3	deepphase
Q9H0R8	deepphase
Q9NW38	deepphase
Q5TGY3	deepphase
Q6PJ61	deepphase
Q7L014	deepphase
Q562F6	deepphase
Q8NBB4	deepphase
Q9BXJ9	deepphase
Q7Z5P4	deepphase
Q8N5N7	deepphase
O95786	deepphase
Q76FK4	deepphase
Q9NWV8	deepphase
Q9NYT6	deepphase
P13674	deepphase
Q14669	deepphase
P29401	deepphase
O60447	deepphase
Q9UMS4	deepphase
Q9H6R3	deepphase
Q8N7W2	deepphase
Q96KQ7	deepphase
Q9GZP7	deepphase
P19237	deepphase
Q9BSE4	deepphase
P18583	deepphase
O75962	deepphase
Q6NUM6	deepphase
Q8N3F9	deepphase
P16519	deepphase
Q7Z692	deepphase
Q695T7	deepphase
Q03188	deepphase
Q5VTT5	deepphase
A4IF30	deepphase
Q8NFU3	deepphase
Q86YT6	deepphase
Q96AQ6	deepphase
Q9Y237	deepphase
P17041	deepphase
Q8NE18	deepphase
P10828	deepphase
Q96HW7	deepphase
P26583	deepphase
Q16384	deepphase
Q96L08	deepphase
O60309	deepphase
O95402	deepphase
P13284	deepphase
P52926	deepphase
Q14146	deepphase
P04198	deepphase
P12270	deepphase
Q8N4C6	deepphase
Q92824	deepphase
O43159	deepphase
Q15436	deepphase
Q6PF04	deepphase
Q9H3P2	deepphase
Q8N5I3	deepphase
Q15906	deepphase
Q9UHA2	deepphase
Q9HBR0	deepphase
P50402	deepphase
Q9NPB0	deepphase
P16066	deepphase
Q96JP5	deepphase
O15240	deepphase
Q8IV50	deepphase
P28074	deepphase
Q14807	deepphase
Q969U7	deepphase
Q13330	deepphase
Q9HC84	deepphase
Q92636	deepphase
Q5C9Z4	deepphase
Q9NW68	deepphase
Q9UDY2	deepphase
P09110	deepphase
Q969K7	deepphase
Q9NYV6	deepphase
Q96MW7	deepphase
Q96PZ7	deepphase
H3BS89	deepphase
Q6UWT4	deepphase
O60488	deepphase
P49427	deepphase
Q8TAI7	deepphase
A6NEQ2	deepphase
Q6P1R3	deepphase
Q9Y2H8	deepphase
Q13610	deepphase
P56282	deepphase
Q96E93	deepphase
Q9H0W7	deepphase
Q9NS91	deepphase
Q8N944	deepphase
Q9NWQ8	deepphase
Q92551	deepphase
Q9UM82	deepphase
Q9UKB1	deepphase
Q9UIV8	deepphase
Q5T7W0	deepphase
Q96GM8	deepphase
