Names	total	elements
		O43237
		Q8TF01
		Q96SB4
		Q9HCK8
		P53992
		O60563
		P04406
		Q92900
		P26373
		O95239
BioPlex3.0 HCM HuRI	90	Q9NWB7
		A8K0Z3
		Q9NSI2
		O75113
		O14966
		P57052
		Q96C24
		P49069
		Q6NUM6
		O75420
		Q9UHG0
		Q96RE7
		Q7Z6J0
		O15550
		Q8TF39
		Q8TC76
		P09913
		Q7L523
		Q6P499
		O00592
		Q12857
		Q16625
		Q9H165
		Q8IYL3
		Q86X53
		P0DMV9
		Q9P031
		Q5HYJ3
		Q8N5C8
		Q9UI36
		O95551
		Q05209
		Q08495
		P36383
		Q8IZE3
		Q9ULS5
		P42684
		Q96PV0
		Q9Y6X4
		Q96GQ5
		Q9Y2H5
		Q01850
		P17661
		Q92551
		O96028
		Q92625
		Q8TD16
		Q96AQ6
		Q9BRT6
		Q9Y250
		Q15025
		Q92692
		Q8IZD4
		Q6IQ23
		Q7L9L4
		P0DPB3
		Q8IWW6
		P17302
		Q9C0B1
		Q63HK5
		Q96B23
		O14640
		Q13163
		Q7L9B9
		Q9Y4E5
		Q96B96
		Q9BYP7
		Q9H9C1
		Q9UM82
		Q00526
		Q9GZY8
		Q9Y2K6
		Q8N9M5
		Q9Y282
		P56182
		Q9H6J7
		Q99856
		P78381
		Q9NQB0
		O95202
		Q8TF68
		P52737
		Q9Y3R0
		P13056
		Q6UUV9
		Q9NPR9
		Q96MU7
		Q15072
		P17098
		Q8NHP6
BioPlex3.0 HuRI QUBIC	199	P41212
		Q9UHA2
		Q14134
		P16144
		Q9BXV9
		P49760
		Q9BV29
		Q86VZ6
		Q86VP1
		Q86UY5
		Q6NUJ5
		Q9C029
		P0CG48
		Q9C086
		P19013
		Q9BSI4
		Q66PJ3
		Q8IXJ9
		P02100
		Q9UK58
		P53667
		P13987
		O14782
		Q8TCT0
		Q53ET0
		Q9HAU4
		Q9H816
		O15049
		Q8N565
		Q8IVF7
		Q8IVT2
		Q8IUH3
		P01106
		Q99728
		Q9NWC5
		Q8TDY4
		P0DI81
		Q8TBZ6
		O15516
		P02686
		Q9H7L9
		P98179
		Q02363
		Q14119
		Q5HY92
		Q9BUV0
		O43829
		P02647
		O14544
		Q7Z422
		O14977
		Q6PJ61
		P40337
		Q6UXU6
		Q9NP64
		P55197
		Q66K64
		P27987
		Q13637
		Q9BRJ6
		Q9BWG6
		Q9BUH8
		O15234
		Q93062
		P84022
		O95429
		Q15776
		P58317
		Q0VGL1
		O75817
		Q9UL15
		Q9H9Z2
		O95999
		Q9Y446
		Q13772
		Q92934
		P49795
		Q8IX15
		Q86YR5
		Q96GN5
		P02671
		Q04206
		O00444
		Q96NY9
		Q9Y4G8
		Q14116
		Q9GZV5
		Q9UBR2
		Q9H668
		Q02078
		Q9NSC5
		Q969T9
		Q8N9N2
		Q96N21
		Q96K58
		Q86SE9
		Q8IUD6
		P46527
		Q9Y5S9
		Q8IY57
		Q15560
		Q6UUV7
		O43543
		Q9P267
		P15408
		Q92993
		O43516
		Q8IXT5
		Q15561
		O43463
		Q14764
		Q96EY4
		Q9BRL6
