Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
43,5,0.3182,3.182,51.54,0.04917,0.969949,"Q9H0V9 Q9P121 Q96FE5 Q7L985 Q8WWX8"
44,27,0.3020,106.0,1064,0.08661,1.00000,"Q52LG2 P59991 Q9BVN2 Q3LI64 Q3LI72 Q9HBE1 Q9Y2Y4 P61236 Q03989 Q9BYR6 Q9BYR8 P32242 Q3LI76 Q3LI66 Q96G42 Q8IZ26 Q93062 Q96LM6 Q16633 A8MV65 Q15915 Q3SYF9 Q9BQY4 O95231 Q99697 Q53HV7 Q5JUK2"
45,89,0.2658,1041,2752,0.2621,0.910534,"Q14254 P08648 P46940 P62140 P61158 Q9NR12 Q9UGI8 Q9BR76 Q9ULV4 O15145 O43795 Q4KMQ1 Q9Y608 A1L390 Q6WCQ1 P09493 P67936 P07951 Q5M775 O14639 Q86V48 O75128 Q9Y4I1 O60292 Q5T5U3 Q9NQW6 Q14126 O95425 Q6ZU35 Q96SB3 Q76I76 Q9UPQ0 O43707 P63261 P61160 P28289 Q9UHB6 Q9NYL9 Q16643 P47755 Q92614 Q96H55 P21333 P35579 O00159 P24941 Q9UM54 P06396 P59998 Q8WXE9 O15143 O15144 O43293 O75083 O95782 P14384 P47756 P52907 P80723 P98082 Q01082 Q0ZGT2 Q12792 Q13045 Q13813 Q27J81 Q6P4F7 Q8N3V7 Q8N556 Q92828 Q9BPX5 Q9NQX4 Q9NSY1 Q9P0K7 P35580 P27482 O75369 O94875 Q12965 O15511 P19105 O14950 Q9Y2D5 O14974 P07355 A6NMY6 Q9HC78 P78524 Q96FS4"
46,5,0.3141,3.141,154.6,0.01873,0.952654,"P11142 Q00535 Q8NDL9 Q99742 Q6ZMN8"
47,4,0.3731,2.239,43.79,0.04144,0.984809,"Q9BYP8 P07438 Q96N58 Q8N339"
48,9,0.3056,11.00,312.2,0.03224,0.999713,"Q5BVD1 Q8N6G5 Q9UBQ6 Q6NXT4 Q12908 Q99571 P21217 Q8NA58 Q9Y2C3"
49,5,0.3128,3.128,29.21,0.07388,0.989214,"Q9NY64 Q04609 Q92896 Q9BZP6 P38405"
50,24,0.3077,84.93,986.3,0.07588,0.983584,"Q9NYF3 Q14153 Q96GV9 Q9Y4H4 P61981 Q04917 P31946 P27348 P63104 P31947 P62258 Q7KZI7 O75122 Q12802 Q7Z309 Q96NE9 P15056 Q02224 Q99759 Q2TAL5 Q9P0L2 Q9Y2U5 Q7Z6B7 Q8IVT5"
51,7,0.3021,6.344,266.6,0.02211,0.997531,"P08133 P07437 O96013 P53985 P68371 Q9NQU5 Q8TD19"
52,5,0.3037,3.037,178.3,0.01587,0.993907,"Q9P013 Q8WUA2 Q8IX18 P0DPD8 Q6ZSI9"
53,9,0.3306,11.90,65.91,0.1242,0.993291,"Q9H008 Q96EY8 P07902 P0DPK4 P49247 Q9UHV2 P01834 P51580 Q9H3S4"
54,14,0.3130,28.48,259.9,0.09003,0.999997,"Q9BXW6 Q9BT25 Q96CS2 Q99871 Q7Z4H7 Q68CZ6 A1L190 O94927 Q9H6D7 P11532 Q8N5U6 Q9NVX0 Q6XPS3 Q5W0U4"
55,11,0.3005,16.53,427.2,0.03549,0.998069,"Q96BA8 Q14656 Q9NUH8 Q96EC8 Q969S6 Q96CP7 Q6N075 Q02161 Q5SWH9 P62952 Q8WWF3"
56,8,0.3002,8.405,238.0,0.03203,0.998619,"Q04721 Q8N8Y5 Q9UM47 P08047 Q06330 P35556 Q8WTR8 Q86XN6"
57,6,0.3174,4.760,219.4,0.02016,0.913257,"Q14192 A0PJW8 Q9H2X6 Q9NRR8 Q9H334 O94916"
58,6,0.3508,5.262,50.73,0.07739,0.953652,"Q9UI08 Q8N8S7 Q8WUP2 Q8N568 Q8N5W9 P35080"
59,4,0.3553,2.132,15.33,0.08372,0.992931,"Q9UGC7 P08174 Q9BV79 P36222"
60,7,0.3046,6.396,193.0,0.02998,0.996355,"O00560 Q02535 A1E959 Q14919 P15884 Q6XD76 P50479"
