Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
2761,4,0.3105,1.863,74.70,0.02203,0.943824,"Q9H2P9 Q9Y5K6 Q96NX9 O15083"
2762,4,0.3165,1.899,43.09,0.03584,0.903035,"O75716 Q7RTU4 O14508 Q9BQ13"
2763,15,0.3006,31.56,395.0,0.06913,0.796816,"P0DP23 P0DP25 P0DP24 Q14012 O75147 Q7Z628 O94983 P46020 Q8IU85 Q7Z624 O75064 Q92952 Q86U90 P23677 Q32MK0"
2764,7,0.3210,6.740,91.67,0.05996,0.951651,"Q12860 P34925 Q4KMG0 Q9UN70 Q3KPI0 Q96JP9 Q01973"
2765,4,0.3036,1.821,35.25,0.04041,0.903035,"Q6PUV4 P62834 Q8N6S4 Q8NGZ9"
2766,3,0.3791,1.137,7.072,0.08003,0.904785,"Q96JC4 Q07973 O75437"
2767,5,0.3010,3.010,90.16,0.02918,0.952654,"P04271 Q9Y5N6 Q9H611 Q9C0I1 Q8N6Q8"
2768,4,0.3202,1.921,14.68,0.07808,0.969699,"Q14117 Q14195 Q8N841 P22309"
2769,4,0.3113,1.868,19.26,0.06413,0.943824,"Q6P3S6 Q06330 Q86UQ0 Q92876"
2770,4,0.3133,1.880,55.31,0.02884,0.969699,"P07864 Q9H0U4 Q9NZP6 Q6IAN0"
2771,16,0.3051,36.61,266.5,0.1093,0.966219,"Q9NVR5 P51674 O00165 Q9UHK0 Q16854 P11137 P62760 P61764 Q9NVT9 Q14194 P60880 Q92777 P17600 P20648 Q99880 Q9H2X9"
2772,5,0.3033,3.033,62.89,0.03994,0.993907,"Q9NVR5 O15075 Q7Z6J8 P42658 P22676"
2773,4,0.3061,1.836,30.64,0.04537,0.903035,"Q96CD2 Q9UNY5 Q93015 Q9Y2L8"
2774,6,0.3009,4.514,34.15,0.08910,0.531907,"Q9H0K4 Q03112 P20929 Q8WZ42 Q96A32 Q14324"
2775,7,0.3202,6.725,16.68,0.1798,0.550837,"P01562 P01563 P05161 P01571 P05014 P19429 P01569"
2776,8,0.3043,8.521,64.12,0.09613,0.813985,"P69905 P68871 Q9NXJ5 Q5VWW1 O43157 Q96MD7 Q9HCI7 P14920"
2777,4,0.3050,1.830,36.31,0.03966,0.969699,"Q9UBW7 Q6EKJ0 P35558 Q16518"
2778,4,0.3264,1.959,31.68,0.04704,0.984809,"O95167 P08637 Q99999 P01019"
2779,4,0.3028,1.817,75.51,0.02129,0.943824,"Q8IZ57 Q9NYM9 Q9ULT6 Q6TCH7"
2780,5,0.3075,3.075,41.47,0.05637,0.952654,"Q13617 Q6PID8 Q6S5H5 Q9BWW7 P01178"
2781,4,0.3029,1.817,23.12,0.05516,0.233913,"Q6ISS4 P53420 P05997 Q5TAT6"
2782,4,0.3079,1.847,49.92,0.03091,0.943824,"P24844 Q8TBX8 Q9H3H9 Q9Y2E4"
2783,5,0.3601,3.601,65.39,0.04559,0.969949,"Q13976 Q9NYW8 P58317 Q14929 Q02386"
2784,4,0.3516,2.110,15.05,0.08387,0.992931,"P11464 Q16557 Q00887 Q6ZMR5"
2785,6,0.3414,5.120,141.6,0.03227,0.953652,"P09382 Q58EX2 Q92854 P19320 O75071 Q12866"
2786,13,0.2678,20.89,314.1,0.05788,0.924519,"P63208 Q9H4M3 Q9Y297 Q13616 Q9UKT8 P62877 Q9Y4X5 Q9Y3I1 Q6P050 Q6P3S6 Q9H469 Q8NI29 Q5FWF7"
2787,3,0.4407,1.322,1.533,0.1493,0.191367,"Q9UL51 Q9P1Z3 Q9Y3Q4"
2788,4,0.3034,1.820,20.28,0.06049,0.943824,"P40313 Q6AI12 Q8NF86 A4FU01"
2789,6,0.3403,5.104,29.31,0.1100,0.953652,"O75157 Q15714 Q9UHY1 Q9H013 Q5VWW1 Q9UKQ9"
2790,4,0.3577,2.146,29.41,0.05425,0.943824,"Q96IV0 Q15818 O43921 P20774"
2791,17,0.2094,28.48,424.3,0.05850,0.977127,"Q9NYF3 Q14153 Q96GV9 P31946 P27348 P63104 P31947 Q12802 Q99759 Q2TAL5 Q9Y2U5 Q7Z6B7 Q8IVT5 Q9BWT1 Q6P0Q8 P35568 A4D2P6"
2792,4,0.3165,1.899,49.71,0.03186,0.969699,"Q9NWW9 O00257 Q9UPN6 Q86UU1"
2793,6,0.3104,4.656,106.2,0.03790,0.977336,"P30926 Q30201 Q13454 O15533 Q96K49 Q92485"
2794,5,0.3412,3.412,97.38,0.03079,0.798302,"P02585 P62736 Q96M60 Q8WU49 Q96RV3"
2795,4,0.3488,2.093,68.08,0.02677,0.969699,"Q9H3P7 Q9Y625 P32249 O60359"
2796,4,0.3008,1.805,31.30,0.04390,0.984809,"Q9H1A3 Q9H4A9 Q9P2E5 Q9H4B8"
2797,4,0.3624,2.175,55.13,0.03330,0.969699,"Q14767 O75437 Q8NEP9 Q8N823"
2798,5,0.3073,3.073,85.64,0.03113,0.969949,"Q8NBI5 P16615 Q6ZNC8 Q96K37 O75417"
2799,31,0.3005,139.7,784.7,0.1416,0.997227,"P52926 Q9Y5B9 Q08945 P62805 Q01831 P49916 Q9UEE9 O75367 P41208 P0C0S8 Q96A08 Q8N257 P06746 P04908 Q14527 Q6FI13 Q16777 P16104 P49736 Q6ZRQ5 Q3T8J9 Q9P0M6 Q86WJ1 P06899 Q8IW19 Q9NUW8 Q96HA7 Q9UGN5 Q7Z2G1 O00479 Q13434"
2800,4,0.3417,2.050,57.23,0.03047,0.969699,"P80303 Q13813 A1KZ92 Q9NRC6"
2801,4,0.3404,2.042,17.24,0.07487,0.984809,"Q8N4N3 P05204 O00479 Q13442"
2802,7,0.3212,6.745,38.67,0.1135,0.874923,"Q9NZN4 Q9H4M9 Q9NZN3 Q9H1K0 Q9H223 Q9UJQ7 Q5VXM1"
2803,20,0.3008,57.15,341.4,0.1303,0.992261,"Q9BXL8 Q14738 Q9BWN1 Q14140 Q15172 Q66LE6 Q13362 P67775 P62714 Q9NUC0 A2A3K4 Q9Y570 P56704 P30154 P63151 Q9NVR7 Q8NC26 Q9Y2T4 O43638 Q14590"
2804,9,0.3013,10.85,91.00,0.09051,0.973971,"P54619 Q9P246 Q9Y478 Q13131 P32239 Q96SD1 Q9UGJ0 Q14940 Q9NVH6"
2805,4,0.3297,1.978,26.72,0.05391,0.903035,"Q16445 Q9H819 P28472 P22888"
2806,3,0.4220,1.266,0.1983,0.1696,0.0382613,"Q14123 P54750 Q01064"
2807,5,0.3650,3.650,37.15,0.07185,0.851865,"Q6ZNC8 Q9Y6M0 Q9UGF5 Q10588 Q9BVG9"
2808,5,0.3358,3.358,83.37,0.03471,0.661948,"Q8IUB5 P05121 O43765 Q9HCQ7 Q9UBC7"
2809,5,0.3035,3.035,23.39,0.08333,0.661948,"P54253 Q96LI6 Q96RD6 P41225 Q96NZ1"
2810,4,0.3604,2.162,66.03,0.02838,0.903035,"A1E959 Q9HC24 Q7Z419 O95231"
2811,4,0.3584,2.151,87.01,0.02213,0.764757,"Q6TCH4 Q8TED1 Q92730 Q8N130"
2812,4,0.3457,2.074,87.35,0.02129,0.764757,"Q6TCH4 Q8TED1 O43916 Q8N130"
2813,4,0.3126,1.875,42.95,0.03550,0.667497,"P55061 P46695 Q96AP7 Q86YW5"
2814,4,0.3051,1.831,159.5,0.01081,0.903035,"Q15323 P48146 Q7Z7H3 Q5MCW4"
2815,5,0.3007,3.007,37.69,0.05932,0.894962,"Q7Z713 Q9NWT6 Q8WVL7 Q03426 Q59H18"
2816,4,0.3561,2.137,54.92,0.03284,0.903035,"Q14767 Q96SK3 O75437 Q8NEP9"
2817,4,0.3607,2.164,36.27,0.04660,0.903035,"P84085 P61204 Q96HD9 Q96KC2"
2818,4,0.3287,1.972,42.50,0.03759,0.843839,"P78337 Q9UGK8 A5LHX3 Q5W0N0"
2819,6,0.3007,4.510,120.7,0.03286,0.967224,"Q9BRX2 P59991 Q3LHN2 Q8IY34 Q8N143 O60565"
2820,5,0.3057,3.057,86.27,0.03078,0.952654,"Q9UBY9 O95817 Q9NRJ4 Q86XR2 A6NFD8"
2821,7,0.3220,6.761,136.3,0.04304,0.695360,"P60329 P32242 Q96LM6 O60269 O95992 Q86X60 Q13516"
2822,4,0.3447,2.068,35.30,0.04558,0.843839,"Q9BQY4 Q8IZ20 Q6J272 Q9UD57"
2823,5,0.3025,3.025,88.48,0.02980,0.952654,"Q9HC98 Q8TF47 Q2TBC4 Q7Z4H9 Q8NEA6"
2824,6,0.3078,4.617,163.4,0.02565,0.977336,"P78424 Q9UKD1 Q5W5X9 Q86UV7 O43763 Q8TF68"
2825,6,0.3169,4.753,92.67,0.04344,0.935897,"Q9H1A3 Q496H8 Q7L5N7 Q9ULF5 Q6ZMH5 Q8IVP5"
2826,5,0.3086,3.086,80.34,0.03303,0.417266,"Q9UMX0 Q30KQ5 Q8WWW0 P13521 A0PJK1"
2827,5,0.3185,3.185,80.40,0.03404,0.417266,"Q9UMX0 Q16538 Q8WWW0 P13521 A0PJK1"
2828,5,0.3387,3.387,137.1,0.02250,0.582734,"Q07627 Q5T681 Q8WUT4 Q8IYK8 Q01629"
2829,4,0.3360,2.016,69.39,0.02539,0.764757,"Q5TA81 A6H8Z2 O76062 P52797"
2830,5,0.3097,3.097,130.5,0.02157,0.928164,"Q8IUG1 O95886 P48146 P48039 Q92835"
2831,6,0.3023,4.534,81.57,0.04622,0.936565,"Q8IUC1 Q9UBP5 P0CW20 P0CW19 O14581 P0CI26"
2832,4,0.3135,1.881,53.47,0.02969,0.557383,"Q9Y5V3 Q9Y5R4 Q9Y5R5 P23415"
2833,4,0.3348,2.009,79.64,0.02241,0.943824,"Q9UKT9 O94929 Q9BXC9 P29474"
2834,4,0.3119,1.872,39.79,0.03769,0.843839,"O14556 Q8NA57 Q2M3T9 Q5T5D7"
2835,4,0.3215,1.929,38.59,0.03976,0.903035,"Q14232 Q7Z3Z2 P25325 Q9Y2D1"
2836,4,0.3596,2.157,59.55,0.03095,0.943824,"Q9BSK4 Q9BRP1 Q99653 Q5VYV7"
2837,6,0.3018,4.528,83.83,0.04511,0.148977,"Q13643 Q9UMQ3 Q9NYN1 Q6Q6R5 Q5VZ18 P52951"
2838,10,0.3083,13.87,124.0,0.08789,0.962169,"P15923 Q99081 Q02535 Q96RJ6 P15884 A6NI15 Q6XD76 Q9Y5K1 Q02363 Q8WVJ9"
2839,19,0.3012,51.51,422.7,0.1006,1.00000,"Q9ULJ7 P99999 Q8TAD8 Q9NWH9 P48634 Q7L014 Q9UPT8 Q9NXE8 Q96EU6 Q5T200 Q92800 Q96BM0 Q15121 Q96IZ7 Q13069 Q9NWB6 P09912 O14957 P0DJI8"
2840,4,0.3231,1.939,20.24,0.06425,0.557383,"Q9NX95 Q7Z460 Q9NXL2 Q8IWU9"
2841,4,0.3183,1.910,48.34,0.03279,0.943824,"Q14500 Q2TAA5 Q9NPA1 P06280"
2842,3,0.4109,1.233,2.130,0.1317,0.331260,"Q5T890 Q9BWK5 Q6UWP2"
2843,4,0.3058,1.835,57.71,0.02716,0.903035,"Q14802 Q5GH77 O15554 Q3LXA3"
2844,5,0.3020,3.020,94.25,0.02815,0.928164,"Q9UNG2 Q1A5X7 Q8NF91 Q7Z6K1 Q99542"
2845,7,0.3049,6.404,121.8,0.04503,0.979543,"Q9UI08 Q8N8S7 Q8WUP2 Q8IZP0 O94856 O43252 Q8N5W9"
2846,9,0.3104,11.17,333.1,0.03084,0.998216,"Q9BVG8 P41219 P10636 O76041 Q9BX66 P08670 Q7Z3I7 Q9NZJ4 Q8NFU5"
2847,8,0.3006,8.418,90.15,0.07347,0.994959,"O00534 P40424 P40425 P55347 Q96KN3 Q5TAB7 Q504Y3 O60663"
2848,5,0.3169,3.169,22.47,0.08891,0.928164,"P17612 Q86UN6 Q15506 Q9C010 Q96C74"
2849,5,0.3314,3.314,83.61,0.03419,0.734565,"P05121 O43765 Q9HCQ7 Q9UBC7 P54710"
2850,5,0.3365,3.365,83.12,0.03487,0.661948,"P05121 O43765 Q9HCQ7 Q9UBC7 Q5JUK9"
2851,4,0.3234,1.940,53.54,0.03057,0.442617,"Q92624 Q8N6F7 P35523 P58549"
2852,5,0.3034,3.034,86.36,0.03052,0.969949,"Q9UBY9 O95817 Q9NRJ4 A6NFD8 Q15773"
2853,4,0.3160,1.896,30.00,0.04753,0.943824,"Q8IVJ1 O14843 Q9UGH3 Q96RI9"
2854,4,0.3377,2.026,40.89,0.03980,0.843839,"Q5J8X5 Q96PB8 Q9H8M9 Q86W47"
2855,4,0.3273,1.964,41.35,0.03827,0.969699,"Q5J8X5 Q96PB8 Q9H8M9 Q8NFK1"
2856,7,0.3016,6.334,44.50,0.09769,0.814453,"Q96IF1 Q15208 Q86XN8 Q9H0D2 Q9NRM7 Q7L9L4 Q9Y2H1"
2857,11,0.3029,16.66,225.3,0.06311,0.987213,"P14136 Q16352 P07197 P07196 P48681 P17661 O15061 Q9H7C4 A2RUH7 Q6XYB7 P08729"
2858,4,0.3155,1.893,44.63,0.03472,0.843839,"Q9Y4H4 Q7Z3H0 Q4VC39 Q8TDX5"
2859,4,0.3029,1.818,58.22,0.02671,0.843839,"O95994 Q9UIG4 O95843 O95741"
2860,4,0.3300,1.980,44.07,0.03664,0.903035,"P59990 O94900 P23771 Q13087"
2861,6,0.3128,4.692,198.6,0.02180,0.977336,"O95292 Q8TBP5 P25445 Q2VPK5 Q9BPY3 Q9BZ72"
2862,5,0.3287,3.287,77.88,0.03605,0.798302,"Q96IW7 Q96HH9 Q9UJ71 P17643 O75071"
2863,8,0.3304,9.251,132.3,0.05873,0.905369,"Q9Y3C0 Q8WUW1 O75506 Q8TDY2 O75385 Q9BSB4 Q15075 Q13007"
2864,3,0.3039,0.9116,4.077,0.08296,0.668740,"Q9NP79 Q8N123 Q8TF40"
2865,4,0.3242,1.945,36.95,0.04148,0.903035,"O00258 P26012 Q8IV61 Q9H4A9"
2866,10,0.3080,13.86,155.8,0.07307,0.947945,"P41227 Q9GZZ1 Q9BXJ9 Q86TB3 Q8IVF7 Q9BSU3 Q6N069 Q8WXS3 Q9NX55 Q8WYP3"
2867,7,0.3171,6.660,218.3,0.02787,0.989275,"Q7Z3S9 P50895 Q0VDD7 Q9BX59 Q6PJG9 Q04900 Q9H0I9"
2868,7,0.3163,6.641,218.3,0.02779,0.989275,"Q7Z3S9 P50895 Q0VDD7 Q9BX59 Q6PJG9 Q6IB77 Q9H0I9"
2869,7,0.3214,6.750,218.3,0.02824,0.989275,"Q7Z3S9 P50895 Q0VDD7 Q9BX59 Q6PJG9 P21918 Q9H0I9"
2870,4,0.3562,2.137,52.55,0.03409,0.764757,"P60371 P52744 Q8IYX0 Q8IYB9"
2871,10,0.3446,15.51,134.8,0.09104,0.989433,"Q96BD5 O95863 Q14687 Q9NP66 Q9UKL0 Q9P0W2 Q8TEW6 Q01538 P05230 Q17R98"
2872,5,0.3111,3.111,72.43,0.03637,0.928164,"P60059 P80188 Q969H8 Q9Y6Y9 Q9H6B4"
2873,4,0.3480,2.088,64.18,0.02811,0.557383,"P35609 O75604 P28222 Q03169"
2874,16,0.3039,36.46,395.7,0.07856,0.992470,"Q8WV44 Q5T619 P15622 Q8TF50 Q9Y2P0 Q96EG3 Q6ZNH5 Q96BR9 Q9H9D4 Q9H707 Q3KQV3 Q9UID6 Q9NSD4 Q8WTR7 Q3ZCT1 Q9BXL6"
2875,7,0.3186,6.690,91.19,0.05979,0.937399,"Q12860 P34925 Q4KMG0 Q9UN70 Q96PE1 Q3KPI0 Q01973"
2876,5,0.3135,3.135,47.58,0.05164,0.969949,"P07949 P24588 Q16695 Q6NXT2 Q05066"
2877,5,0.3171,3.171,62.80,0.04173,0.582734,"P05090 Q96QD5 Q8NBJ7 P46089 Q96MR6"
2878,13,0.3222,25.13,259.7,0.08084,0.999889,"Q9NV12 Q01453 A2RU14 P54852 Q96HJ5 P38484 Q96CE8 Q9BZL3 O95859 Q9BZJ8 O00501 Q6ZP80 Q13326"
2879,7,0.3010,6.320,101.2,0.05200,0.951651,"Q96JM4 Q9BT67 P15260 O14763 P17181 P01579 P10721"
2880,4,0.3282,1.969,38.53,0.04060,0.943824,"Q9Y5X3 Q6ZMT1 Q8N5U0 P47813"
2881,25,0.3015,90.45,468.0,0.1487,0.932415,"P38936 Q00535 P61024 Q00526 P56589 O95067 P14635 P30281 P24941 Q13309 P50613 Q00534 P22674 P06493 P46527 P20248 Q9H211 P24864 P33552 O96020 P49918 P42771 Q8WVX9 P24385 P30279"
2882,9,0.3127,11.26,190.9,0.05114,0.968155,"Q96FJ2 O14867 O75330 Q9H4H8 P48729 O43313 Q9P260 Q9BWV3 Q8N752"
2883,5,0.3152,3.152,93.13,0.02966,0.851865,"O43681 P49069 O00264 Q9UJ90 Q8NES8"
2884,4,0.3222,1.933,29.55,0.04895,0.667497,"Q8IYK4 Q07092 Q99704 Q9BXJ4"
2885,5,0.3073,3.073,21.56,0.08872,0.851865,"O15182 Q70CQ1 O95976 P22692 Q17R60"
2886,6,0.3143,4.715,102.1,0.03969,0.977336,"Q9Y5F3 Q5JRA6 Q9NYQ3 Q96PC5 P05154 Q86UF2"
2887,6,0.3103,4.655,59.00,0.06153,0.953652,"Q13033 Q7Z7B0 Q96RR4 Q99424 P12829 P05976"
2888,4,0.3188,1.913,26.98,0.05185,0.969699,"Q9UMX1 O14753 Q86VQ0 P10070"
2889,5,0.3336,3.336,134.5,0.02257,0.851865,"Q9H9Z2 Q9UHA3 Q9BXY0 A6NHQ2 Q9UJW3"
2890,4,0.3323,1.994,104.6,0.01740,0.903035,"Q8N3J9 Q13561 O95257 Q8IVF4"
2891,6,0.3082,4.623,93.71,0.04190,0.977336,"P48634 Q96C57 O14604 Q9NWB6 Q9BRU2 Q6PJE2"
2892,5,0.3310,3.310,24.48,0.08759,0.338052,"O75581 Q96D21 Q9UBR5 Q7L1S5 Q5XG87"
2893,4,0.3432,2.059,58.34,0.03010,0.903035,"Q9Y3X0 Q99698 Q86U42 P47712"
2894,8,0.3023,8.465,100.5,0.06775,0.813985,"Q8NDY6 O95147 Q8TF66 Q86SJ6 Q6WQI6 P59533 Q0VFZ6 P56915"
2895,7,0.3367,7.070,68.73,0.07873,0.972358,"P20248 Q92793 Q09472 P29279 Q99966 Q7Z2Z1 P28749"
2896,9,0.3200,11.52,87.58,0.09837,0.986362,"Q71RG4 Q9BVT8 P51452 Q96K19 O75477 O94905 P19875 Q7Z4R8 O75899"
2897,11,0.2554,14.05,171.1,0.06782,0.934516,"Q969H0 Q13616 Q9UKT8 P62877 Q9Y4X5 Q8TBC3 Q6P3S6 Q5XUX0 I6L899 Q9H469 H3BV12"
2898,4,0.3696,2.218,35.40,0.04861,0.903035,"Q9BWQ6 Q9NYZ1 Q86WV6 Q6UWV7"
2899,4,0.3023,1.814,21.54,0.05785,0.903035,"Q9H1M4 Q8IYJ0 P55822 Q8N4A0"
2900,4,0.3576,2.146,111.4,0.01765,0.903035,"Q9H9B4 Q9BU89 Q9NQZ5 Q8N5G0"
2901,8,0.3074,8.607,63.83,0.09733,0.784551,"P69905 P68871 Q9NXJ5 Q5VWW1 O43157 Q96MD7 Q9HCI7 Q9HBW0"
2902,9,0.3055,11.00,335.7,0.03015,0.994778,"P02792 A2A3N6 Q96JM3 P41208 Q0VDD8 O94983 Q8IZL9 A8K8P3 Q6DN03"
2903,9,0.3046,10.97,198.0,0.04831,0.994778,"Q9NY91 Q9Y345 Q6ZMG9 B7ZAQ6 Q9H244 P0CG08 Q8IZP9 P30989 Q9NQS5"
2904,4,0.3158,1.895,33.28,0.04388,0.843839,"Q96AT9 P05062 P42680 Q12882"
2905,7,0.3417,7.175,145.8,0.04297,0.778356,"P23025 P52294 P07992 Q92889 Q8IY92 Q6PJP8 Q9BXF3"
2906,8,0.3291,9.214,45.10,0.1311,0.718238,"Q00535 P46527 P24864 O94921 Q5MJ70 P30279 Q8WWL7 Q8NFP4"
2907,7,0.3243,6.810,16.26,0.1837,0.449163,"P01562 P01563 P05161 P01571 P05014 O75594 P01569"
2908,4,0.3214,1.928,20.62,0.06314,0.903035,"P34897 P53778 Q86W25 O15264"
2909,4,0.3160,1.896,26.22,0.05249,0.943824,"Q96D05 P07766 Q8N387 Q9UJG1"
2910,8,0.3363,9.415,132.2,0.05973,0.905369,"Q9Y3C0 Q8WUW1 O75506 Q8TDY2 O75385 Q9BSB4 Q15075 Q9Y6K5"
2911,4,0.3324,1.995,43.38,0.03737,0.903035,"Q9BT25 Q9BRT2 Q9H7Z3 Q96M11"
2912,4,0.3427,2.056,164.4,0.01178,0.903035,"Q04721 P08047 Q86XN6 E7ETH6"
2913,6,0.3217,4.826,72.23,0.05419,0.984681,"P15153 P60763 P28074 P63000 Q14185 Q9HCE0"
2914,8,0.3043,8.519,85.86,0.07718,0.936096,"P31150 P50395 P61006 Q92930 Q13636 P51153 Q9UL26 P09525"
2915,5,0.3013,3.013,59.52,0.04154,0.952654,"Q12999 P08962 Q96F25 Q15012 Q9H3U5"
2916,5,0.3033,3.033,29.11,0.07196,0.894962,"O15547 Q5TYW1 O75953 Q309B1 Q9Y574"
2917,4,0.3605,2.163,37.06,0.04580,0.903035,"Q9NWT6 Q8WVL7 Q03426 Q96NS5"
2918,8,0.3136,8.781,98.43,0.07127,0.988026,"Q9UPY3 Q8N3C0 Q8N9N2 Q9H1I8 Q13253 Q15650 Q96Q83 O60229"
2919,5,0.3057,3.057,134.0,0.02079,0.928164,"P25815 Q9UBZ4 Q9NYD6 Q6A555 P31270"
2920,6,0.3200,4.799,370.0,0.01241,0.977336,"O60245 P17302 Q9UPN3 A6NLJ0 Q9NS62 O94854"
2921,5,0.3118,3.118,71.77,0.03672,0.894962,"P41222 Q9UK08 P02763 P02743 P19652"
2922,8,0.3047,8.533,71.03,0.08929,0.864926,"Q9H0K4 P12883 P13535 Q9Y623 Q03112 Q96A32 Q14324 P54296"
2923,4,0.3241,1.944,29.37,0.04945,0.557383,"O60361 Q16690 Q8IVU9 Q6P2H8"
2924,62,0.3010,569.1,4313,0.1137,0.997531,"Q13586 P50402 Q96RD7 Q8WXH0 Q9H2F3 O00124 O95292 Q9P2W7 Q9H8H3 P42166 Q9H6L5 O95210 Q99442 P49069 Q9BUN8 O14681 Q8NBQ5 P04844 Q9NR77 Q9P246 Q14739 Q96S66 P49257 Q96RQ1 Q969X5 P51572 Q00765 P04843 P43307 O14983 O00264 Q07065 Q15738 Q5HYI8 Q9P035 Q8TCT9 Q99943 Q86UL3 P16435 Q8WXF7 Q53EU6 O43402 Q9H2M9 Q9HCU5 Q92543 Q12769 Q5VV42 Q8IWB9 Q96HY6 Q96SK2 Q8NF91 Q8WUX9 Q9Y679 P17706 O95573 Q9NXE4 P00167 Q9H2J7 P84157 Q86YN1 Q99542 Q8NCS4"
2925,5,0.3358,3.358,120.4,0.02511,0.952654,"Q8IWU5 Q6ZW76 Q05940 Q8TDX7 Q9UBI4"
2926,10,0.3050,13.73,199.8,0.05878,0.994335,"O00182 Q9Y666 Q3B8N2 Q6DKI2 Q9UP95 O15439 Q9UHW9 Q5TZ20 Q8NGN2 Q8NGL2"
2927,6,0.3129,4.693,153.0,0.02765,0.967224,"P43681 A4D1S0 Q8NDV1 Q9H4F1 O75072 A6NFY4"
2928,4,0.3329,1.997,19.29,0.06821,0.764757,"Q00534 Q9BQI3 Q8N5C1 Q86YR7"
2929,4,0.3146,1.887,30.50,0.04673,0.764757,"P22392 Q9H4I3 O94760 P02750"
2930,4,0.3093,1.856,92.97,0.01805,0.843839,"Q9UBX5 P17098 Q9C0G0 P14651"
2931,9,0.3126,11.25,50.40,0.1413,0.786612,"Q00535 P46527 P24864 O94921 Q5MJ70 Q6ZMN8 P24385 P30279 Q8NFP4"
2932,7,0.3083,6.474,144.8,0.03918,0.992403,"P35251 Q9NXV2 Q14683 Q9NTJ3 O95347 Q9Y6N1 Q6A1A2"
2933,5,0.3285,3.285,45.42,0.05596,0.952654,"Q01826 Q15274 Q9UPW6 Q96LD4 Q495C1"
2934,30,0.3014,131.1,920.2,0.1180,0.999948,"P07910 Q8IUH3 Q96DU9 Q15434 Q9ULR5 Q9HCE1 O15234 Q96E39 O60812 O15504 Q9UKM9 Q92615 O75152 P43243 Q12926 Q9NZB2 Q8IYD1 O95758 Q9H000 P0CB38 Q9Y6M1 Q8TB72 Q9H074 Q9NUD5 Q9H814 Q8IUX4 Q9BPZ3 Q9BQQ7 Q4VXU2 Q8IX06"
2935,4,0.3225,1.935,27.57,0.05159,0.903035,"Q9UIV8 Q969K3 Q8WZ73 Q9UBC0"
2936,22,0.3062,70.73,393.6,0.1391,0.995567,"Q14781 Q9HAH7 Q8IY57 Q86SE9 P67870 P61962 Q9BYE7 Q8N488 P78364 Q3KNV8 Q8WXX7 Q99496 Q06587 Q9HCM7 Q8IXK0 O60763 O00257 P35227 O95931 Q8NDX5 P35226 Q8NE22"
2937,3,0.5950,1.785,10.49,0.09767,0.959572,"Q9H939 Q05209 P29350"
2938,5,0.3676,3.676,42.05,0.06596,0.952654,"Q15642 Q68EM7 Q9Y3L3 Q17R89 Q8IV35"
2939,4,0.3124,1.875,20.07,0.06261,0.903035,"P40313 Q6AI12 Q8NF86 Q6Q0C1"
2940,4,0.3268,1.961,29.27,0.04998,0.557383,"O60361 Q16690 Q8IVU9 Q9Y6E7"
2941,4,0.3252,1.951,142.2,0.01283,0.903035,"O15231 P17174 Q9NVZ3 P00734"
2942,4,0.3015,1.809,76.54,0.02095,0.903035,"Q9Y673 Q9BXS4 P49810 Q86VR8"
2943,4,0.3221,1.933,28.79,0.04992,0.943824,"Q8IYF1 P20160 Q99962 P41218"
2944,4,0.3166,1.900,28.79,0.04911,0.943824,"Q8IYF1 P20160 Q99962 P17213"
2945,5,0.3186,3.186,71.77,0.03751,0.851865,"P41222 Q9UK08 P02763 P19652 P02749"
2946,9,0.3014,10.85,77.49,0.1020,0.855343,"O15547 Q03721 P25685 Q14190 Q8WUA7 Q9UDY4 O75953 Q3MJ13 Q86W28"
2947,14,0.3002,27.31,442.6,0.05486,0.997642,"Q9NYF3 Q96GV9 P31946 P27348 P63104 P31947 Q12802 Q6IQ23 Q99759 Q2TAL5 Q9Y2U5 Q7Z6B7 Q8IVT5 Q8TEJ3"
2948,9,0.3079,11.09,291.7,0.03456,0.997641,"P11021 Q9GZX3 P31997 P22891 Q9UBS3 Q9NYU1 Q9GZS9 Q96S86 Q9Y4C5"
2949,9,0.3282,11.81,100.7,0.09055,0.999794,"P19105 O14950 P14649 P60660 Q7Z2Z2 Q7Z406 P12829 Q7Z3V4 P08590"
2950,4,0.3453,2.072,16.13,0.07908,0.843839,"Q13217 Q68BL8 Q9HAT2 P20062"
2951,4,0.3263,1.958,22.22,0.06084,0.903035,"Q9NPJ3 P31939 Q96Q11 Q14722"
2952,4,0.3065,1.839,64.05,0.02489,0.969699,"Q92526 Q9C0K7 Q15131 Q8TD08"
2953,7,0.3007,6.315,139.6,0.03950,0.989275,"P25054 Q9H4B6 Q9H0B3 Q5JTC6 Q9P2G4 Q8N4T0 Q9UF83"
2954,11,0.3008,16.54,142.6,0.09132,0.995688,"Q96BD5 O95863 Q14687 Q9NP66 Q9UKL0 Q9P0W2 Q8TEW6 Q01538 Q8IZ40 P05230 Q96EK2"
2955,23,0.3004,76.00,285.3,0.1866,0.997999,"Q13619 Q9H0C5 Q9BX70 Q6JEL2 Q9NZJ0 P61201 Q13098 Q9H9Q2 Q9BT78 Q92905 Q8WXC6 Q8WV16 Q13620 Q92466 Q9BW61 Q9UBW8 Q7L5N1 Q99627 Q9UNS2 O95704 Q7L5Y6 P53673 Q13216"
2956,7,0.3059,6.424,80.49,0.06365,0.937399,"P40197 Q8N8J7 O75915 O75298 Q13641 Q8N8Q8 A5X5Y0"
