"Bait GeneID"	"Bait Symbol"	"Prey GeneID"	"Prey Symbol"
"6430"	"SRSF5"	"10969"	"EBNA1BP2"
"10969"	"EBNA1BP2"	"6429"	"SRSF4"
"6429"	"SRSF4"	"10969"	"EBNA1BP2"
"10969"	"EBNA1BP2"	"6157"	"RPL27A"
"6157"	"RPL27A"	"10969"	"EBNA1BP2"
"10969"	"EBNA1BP2"	"25873"	"RPL36"
"25873"	"RPL36"	"10969"	"EBNA1BP2"
"10969"	"EBNA1BP2"	"6156"	"RPL30"
"6156"	"RPL30"	"10969"	"EBNA1BP2"
"10969"	"EBNA1BP2"	"23521"	"RPL13A"
"23521"	"RPL13A"	"10969"	"EBNA1BP2"
"83957"	"FKSG43"	"3312"	"HSPA8"
"140680"	"C20orf96"	"339457"	"C1orf222"
"3354"	"HTR1E"	"506"	"ATP5B"
"3623"	"INHA"	"3309"	"HSPA5"
"3623"	"INHA"	"2923"	"PDIA3"
"3623"	"INHA"	"811"	"CALR"
"3623"	"INHA"	"8517"	"IKBKG"
"4010"	"LMX1B"	"4081"	"MAB21L1"
"4010"	"LMX1B"	"728378"	"POTEF"
"4010"	"LMX1B"	"60"	"ACTB"
"4010"	"LMX1B"	"63876"	"PKNOX2"
"4010"	"LMX1B"	"25973"	"PARS2"
"4010"	"LMX1B"	"8861"	"LDB1"
"4010"	"LMX1B"	"5087"	"PBX1"
"4010"	"LMX1B"	"5089"	"PBX2"
"4010"	"LMX1B"	"5090"	"PBX3"
"4010"	"LMX1B"	"4211"	"MEIS1"
"4010"	"LMX1B"	"4212"	"MEIS2"
"4010"	"LMX1B"	"23635"	"SSBP2"
"23635"	"SSBP2"	"4010"	"LMX1B"
"4010"	"LMX1B"	"170463"	"SSBP4"
"170463"	"SSBP4"	"4010"	"LMX1B"
"4010"	"LMX1B"	"23648"	"SSBP3"
"23648"	"SSBP3"	"4010"	"LMX1B"
"55998"	"NXF5"	"3312"	"HSPA8"
"55998"	"NXF5"	"345651"	"ACTBL2"
"83879"	"CDCA7"	"7532"	"YWHAG"
"83879"	"CDCA7"	"7534"	"YWHAZ"
"5426"	"POLE"	"5427"	"POLE2"
"5427"	"POLE2"	"5426"	"POLE"
"64091"	"POPDC2"	"287"	"ANK2"
"64091"	"POPDC2"	"53373"	"TPCN1"
"64091"	"POPDC2"	"196527"	"ANO6"
"64091"	"POPDC2"	"56996"	"SLC12A9"
"64091"	"POPDC2"	"25807"	"RHBDD3"
"64091"	"POPDC2"	"84230"	"LRRC8C"
"84722"	"PSRC1"	"3275"	"PRMT2"
"8480"	"RAE1"	"4928"	"NUP98"
"8480"	"RAE1"	"55109"	"AGGF1"
"8480"	"RAE1"	"5558"	"PRIM2"
"8480"	"RAE1"	"11097"	"NUPL2"
"11097"	"NUPL2"	"8480"	"RAE1"
"8480"	"RAE1"	"701"	"BUB1B"
"701"	"BUB1B"	"8480"	"RAE1"
"8480"	"RAE1"	"5557"	"PRIM1"
"5557"	"PRIM1"	"8480"	"RAE1"
"79608"	"RIC3"	"5245"	"PHB"
"79608"	"RIC3"	"11160"	"ERLIN2"
"79608"	"RIC3"	"54892"	"NCAPG2"
"79608"	"RIC3"	"55735"	"DNAJC11"
"79608"	"RIC3"	"23310"	"NCAPD3"
"79608"	"RIC3"	"23326"	"USP22"
"79608"	"RIC3"	"3156"	"HMGCR"
"79608"	"RIC3"	"11331"	"PHB2"
"79608"	"RIC3"	"64924"	"SLC30A5"
"79608"	"RIC3"	"55005"	"RMND1"
"79608"	"RIC3"	"202018"	"TAPT1"
"79608"	"RIC3"	"29781"	"NCAPH2"
"79608"	"RIC3"	"83590"	"TMUB1"
"79608"	"RIC3"	"987"	"LRBA"
"79608"	"RIC3"	"55676"	"SLC30A6"
"79608"	"RIC3"	"10079"	"ATP9A"
"57007"	"CXCR7"	"506"	"ATP5B"
"57007"	"CXCR7"	"498"	"ATP5A1"
"57007"	"CXCR7"	"513"	"ATP5D"
"57007"	"CXCR7"	"539"	"ATP5O"
"83942"	"TSSK1B"	"3312"	"HSPA8"
"83942"	"TSSK1B"	"22994"	"AZI1"
"83942"	"TSSK1B"	"10243"	"GPHN"
"83942"	"TSSK1B"	"131544"	"CRYBG3"
"83942"	"TSSK1B"	"26130"	"GAPVD1"
"83942"	"TSSK1B"	"28966"	"SNX24"
"64854"	"USP46"	"23239"	"PHLPP1"
"64854"	"USP46"	"91833"	"WDR20"
"91833"	"WDR20"	"64854"	"USP46"
"64854"	"USP46"	"1762"	"DMWD"
"64854"	"USP46"	"57599"	"WDR48"
"64854"	"USP46"	"58533"	"SNX6"
"64854"	"USP46"	"6643"	"SNX2"
"64854"	"USP46"	"23035"	"PHLPP2"
"30813"	"VSX1"	"1459"	"CSNK2A2"
"30813"	"VSX1"	"1457"	"CSNK2A1"
"30813"	"VSX1"	"1460"	"CSNK2B"
"30813"	"VSX1"	"219333"	"USP12"
"30813"	"VSX1"	"8338"	"HIST2H2AC"
"54543"	"TOMM7"	"279"	"AMY2A"
"54543"	"TOMM7"	"84134"	"TOMM40L"
"521"	"ATP5ME"	"93974"	"ATPIF1"
"93974"	"ATPIF1"	"521"	"ATP5ME"
"521"	"ATP5ME"	"509"	"ATP5C1"
"509"	"ATP5C1"	"521"	"ATP5ME"
"521"	"ATP5ME"	"506"	"ATP5B"
"506"	"ATP5B"	"521"	"ATP5ME"
"521"	"ATP5ME"	"10476"	"ATP5H"
"521"	"ATP5ME"	"513"	"ATP5D"
"513"	"ATP5D"	"521"	"ATP5ME"
"521"	"ATP5ME"	"498"	"ATP5A1"
"521"	"ATP5ME"	"515"	"ATP5F1"
"515"	"ATP5F1"	"521"	"ATP5ME"
"521"	"ATP5ME"	"54943"	"DNAJC28"
"521"	"ATP5ME"	"522"	"ATP5J"
"522"	"ATP5J"	"521"	"ATP5ME"
"521"	"ATP5ME"	"10560"	"SLC19A2"
"10560"	"SLC19A2"	"521"	"ATP5ME"
"521"	"ATP5ME"	"10632"	"ATP5L"
"521"	"ATP5ME"	"539"	"ATP5O"
"521"	"ATP5ME"	"29956"	"LASS2"
"29956"	"LASS2"	"521"	"ATP5ME"
"521"	"ATP5ME"	"4509"	"ATP8"
"4502"	"MT2A"	"5357"	"PLS1"
"4502"	"MT2A"	"9317"	"PTER"
"4502"	"MT2A"	"56110"	"PCDHGA5"
"100272147"	"MTCP1NB"	"2671"	"GFER"
"10230"	"NBR2"	"10531"	"PITRM1"
"10230"	"NBR2"	"51291"	"GMIP"
"10230"	"NBR2"	"192670"	"EIF2C4"
"4694"	"NDUFA1"	"4707"	"NDUFB1"
"4694"	"NDUFA1"	"4729"	"NDUFV2"
"4729"	"NDUFV2"	"4694"	"NDUFA1"
"4694"	"NDUFA1"	"4731"	"NDUFV3"
"4731"	"NDUFV3"	"4694"	"NDUFA1"
"4694"	"NDUFA1"	"4538"	"ND4"
"4694"	"NDUFA1"	"4701"	"NDUFA7"
"4701"	"NDUFA7"	"4694"	"NDUFA1"
"4694"	"NDUFA1"	"4715"	"NDUFB9"
"4694"	"NDUFA1"	"4696"	"NDUFA3"
"4694"	"NDUFA1"	"4714"	"NDUFB8"
"4694"	"NDUFA1"	"4724"	"NDUFS4"
"4694"	"NDUFA1"	"4704"	"NDUFA9"
"4694"	"NDUFA1"	"55967"	"NDUFA12"
"4694"	"NDUFA1"	"4723"	"NDUFV1"
"4694"	"NDUFA1"	"4709"	"NDUFB3"
"4694"	"NDUFA1"	"4718"	"NDUFC2"
"4718"	"NDUFC2"	"4694"	"NDUFA1"
"4694"	"NDUFA1"	"4540"	"ND5"
"4694"	"NDUFA1"	"4726"	"NDUFS6"
"4726"	"NDUFS6"	"4694"	"NDUFA1"
"4694"	"NDUFA1"	"4712"	"NDUFB6"
"4694"	"NDUFA1"	"4711"	"NDUFB5"
"55505"	"NOP10"	"92345"	"NAF1"
"55505"	"NOP10"	"4904"	"YBX1"
"4904"	"YBX1"	"55505"	"NOP10"
"55505"	"NOP10"	"26094"	"DCAF4"
"55505"	"NOP10"	"1736"	"DKC1"
"1736"	"DKC1"	"55505"	"NOP10"
"55505"	"NOP10"	"10514"	"MYBBP1A"
"10514"	"MYBBP1A"	"55505"	"NOP10"
"55505"	"NOP10"	"55135"	"WRAP53"
"55135"	"WRAP53"	"55505"	"NOP10"
"55505"	"NOP10"	"6426"	"SRSF1"
"6426"	"SRSF1"	"55505"	"NOP10"
"55505"	"NOP10"	"6223"	"RPS19"
"6223"	"RPS19"	"55505"	"NOP10"
"55505"	"NOP10"	"3836"	"KPNA1"
"3836"	"KPNA1"	"55505"	"NOP10"
"55505"	"NOP10"	"54433"	"GAR1"
"54433"	"GAR1"	"55505"	"NOP10"
